210	Revoke
211	Events
212	Achievements
213	Explanation
214	Exploration
215	Also reaches players who are not currently playing. Those who disabled email news will not receive it; the result shows how many were excluded. Maximum 40 emails per send.
216	Reset first-time hints
217	First contact · New colony
218	Ore production per second (history)
219	There is
220	Event calendar
221	Exclusive colour schemes for your fleet icons, obtained only by completing major alliance projects.
222	Exclusive titles obtained only by completing major alliance projects. A title you own can be selected as your display title.
223	Exotic research (one-time unlocks)
224	Expedition
225	Start expedition
226	Expeditions with bearings, a codex and treasure caches
227	FACTIONS
228	If an email address is saved for the account, a link will be sent shortly. No longer have access to that address? Contact the server administrator.
229	Colour theme
230	Feedback
231	Feedback for the developer
232	Report a bug / submit an idea
233	Completed jobs
234	Flagship
235	Flagship · Command points
236	Fleet
237	Fleet & deployment
238	Deploy fleet
239	Fleet parade
240	Fleet positions
241	Follow the game for new releases, battle videos and previews:
242	Research
243	Research milestones
244	Research sprint (temporary boost)
245	Research projects
246	Progress
247	Factions
248	Friends
249	Invite friends
250	Front
251	Skill tree
252	Visible to all members. Major events in your alliance's history: founding, upgrades, attacks, wars, completed operations and projects.
253	BATTLE · PHASE 2 OF 3
254	Galactic dominance
255	Galactic market
256	Galactic compendium
257	Galaxy
258	Galaxy news
259	Buildings
260	Play battle anyway
261	Enjoying the game?
262	Enemies
263	Codes are occasionally posted on the game's channels. Letter case, hyphens and spaces do not matter. Each code is valid for a limited time and can be redeemed
264	Joint alliance construction projects with their own permanent bonuses.
265	Shared events that unfold in the same way for all players. They develop on their own, even without your involvement.
266	Community
267	Reported players
268	Gift
269	Shared with everyone who opens this game. Refreshes automatically every 15 seconds while this tab is open, so other players see your updated score automatically. Use Refresh when needed. The sword icon sends your chosen attack fleet: travel time depends on distance, and the outcome, resource losses and reports are resolved on arrival. The envelope sends a message. Both require a game server; otherwise combat is a simulated duel.
270	Spend credits on temporary boosts or module blueprints. Active shop buffs cannot be stacked.
271	Grants a player the
272	Applies permanently, in addition to the standard prestige production bonus
273	Global
274	Global chat
275	Gold
276	Directly changes the galaxy: world boss, alien nests, wreck convoys, market events and bounties. Uses the same generators as the world simulation to avoid creating targets with missing fields.
277	Server-recorded events for pact offers, world boss defeats and incoming raids. Notification preferences are available in Settings.
278	Balance available for trading
279	Trade and smuggling. Pays in credits and does not ask where the goods came from.
280	Trade routes
281	Trade routes that earn credits even while you are offline
282	Trade
283	Master switch: turning this off disables all categories below
284	Home system
285	Help
286	Help & frequently asked questions
287	Pauses the
288	Frequently asked questions about Kolonie Kepler-7
289	I have read the
290	Browser idle game
291	Empire overview
292	Legal notice
293	Instagram
294	Inventory
295	Is Kolonie Kepler-7 really free?
296	Yes, everyone plays in the same galaxy. Join an alliance, develop an alliance base together, research alliance technologies, launch coordinated attacks and fight the world boss as a team. You can also trade on the market, form pacts with other players and compete on a shared leaderboard.
297	Yes. The game is completely free, with no subscriptions or paid gameplay advantages. Credits are earned in the game. Voluntary donations provide cosmetic items, not advantages in combat, production or leaderboard rankings.
298	Yes. Your queues keep working alongside resource production: when one building finishes, the next starts, and research follows the same rule. After at least 24 hours away, you also receive a returning-player production bonus.
299	Every successful administrator action with its time, target and details, recorded by the server when responding. Shows the latest 300 entries. Rejected attempts are not included.
300	Each faction has eight reputation ranks, its own missions, a shop and a rival that reduces your reputation when you help the other side. At rank 6 you may open an embassy, but only three slots are available.
301	Every battle has three phases and counter roles: fighters intercept bombers, bombers break capital ships, and destroyers clear fighters. Win chances are capped at 5-95% against NPCs and 10-90% against real players, so a smart formation can beat a larger fleet.
302	Vote now
303	Send gift now
304	Sign out everywhere now
305	NO PAY-TO-WIN
306	AI auto-interception
307	KOLONIE KEPLER-7
308	FREE · NO DOWNLOAD ·
309	Coffee
310	Combat & conquest
311	Battle replay
312	Battle reports
313	Combat record & daily history
314	Combat points
315	Combat points:
316	Can I be attacked while I am away?
317	Can I play together with other players?
318	Share card
319	Not just an idle clicker: what you build determines what you can research; what you research determines which fleet you can field; and your fleet determines who controls the systems.
320	No alliance
321	Kepler system
322	Class modules
323	A bar at the top that jumps directly to a section
324	Colony
325	Kolonie Kepler-7
326	The original game is in German. You can select English beta from the language menu; detailed texts not yet translated remain in German, and player messages retain their original language.
327	Kolonie Kepler-7 is listed on
328	Kolonie Kepler-7 is developed by
329	Kolonie Kepler-7 - Free space idle game in your browser
330	Enter colony
331	Found a colony
332	Colonies
333	Commander
334	Commander profile
335	Commander level
336	Commander name
337	Command points
338	Account
339	Coordinated alliance attacks on enemy bases
340	Credit shop
341	Credits
342	Credits and resources in circulation across all saves, market prices compared with their base values, and active PvE targets. Read-only: nothing is changed here.
343	Credit history
344	Declare war
345	War room
346	Answers before you sign in.
347	Short sections side by side (wide screens only)
348	An overview of your base, research, fleet, colonisation and alliance
349	Battles you can plan
350	Situation
351	Void technology and rare materials. A dangerous enemy and an expensive friend.
352	Places
353	Creates a
354	Recent changes
355	Level
356	Request link
357	Lists
358	Live battle replay
359	Runs on a Raspberry Pi in a living room · no tracking, no advertising, no paid advantages
360	Does my progress continue while I am offline?
361	Market
362	Mega-projects
363	More about the game:
364	My ships away from home
365	Sign in to play your colony
366	Report
367	Reports
368	View reports (
369	Military doctrine and officer training. Rewards warfare and disdains neutrality.
370	Missions
371	Members & wars
372	Members & roles
373	Module exchange
374	Modules
375	Trade modules directly with other players
376	Equip modules in slots at individual locations. Each location is upgraded separately using command points. Equipped modules only affect that location. Find modules through expeditions and probes.
377	Moons with their own buildings and defences
378	Do I need to download or install anything?
379	NPC factions
380	NPC factions (attackable)
381	Msg.
382	Messages
383	Supplies
384	Part of a name
385	No. Kolonie Kepler-7 runs directly in your browser on PC, tablet and phone. No client, plugin or app-store installation is needed. On a phone, you can also add the page to your home screen to launch it like an app.
386	New colonies receive four days of beginner protection, and your nearest inhabited neighbour is deliberately far away. After that, PvP is part of the game: defences, shield modules and fleet formations help determine the outcome. You can lose resources and ships, but never your colony itself.
387	New players
388	New version available
389	Set a new password
390	Restart
391	Unmatched donations
392	Offer non-aggression pact
393	Note
394	Bugs only
395	Ideas only
396	Application required
397	Only visible to admins and officers. Accepting immediately makes the applicant a member. Rejecting discards the application; they may apply again at any time.
398	Only visible to admins and officers. Shows recent admin actions: promotions, removals and settings changes.
399	Open only
400	Only relevant to alliance admins and officers
401	Terms of use
402	Open to everyone
403	Pending applications
404	Officers
405	Officers with branching talents from level 5
406	No Ko-fi connection
407	Online
408	Optional layouts, all disabled by default. The existing layout remains the default. Collapsible sections work in ALL tabs; jump links work in Base, Research, Score, Progress and Settings; the two-column layout applies to Progress.
